Index,angle,c_angle,error
0,-35,-35,0
1,-34,-34,0
2,-33,-33,0
3,-32,-32,0
4,-31,-31,0
5,-30,-30,0
6,-29,-29,0
7,-28,-28,0
8,-27,-28,-1
9,-26,-26,0
10,-25,-25,0
11,-24,-24,0
12,-23,-24,-1
13,-22,-23,-1
14,-21,-22,-1
15,-20,-21,-1
16,-19,-20,-1
17,-18,-20,-2
18,-17,-18,-1
19,-16,-16,0
20,-15,-16,-1
21,-14,-14,0
22,-13,-13,0
23,-12,-14,-2
24,-11,-12,-1
25,-10,-10,0
26,-9,-8,1
27,-8,-8,0
28,-7,-7,0
29,-6,-6,0
30,-5,-5,0
31,-4,-4,0
32,-3,-3,0
33,-2,-2,0
34,-1,-1,0
35,0,0,0
36,1,1,0
37,2,2,0
38,3,3,0
39,4,4,0
40,5,5,0
41,6,8,2
42,7,8,1
43,8,8,0
44,9,8,-1
45,10,10,0
46,11,11,0
47,12,13,1
48,13,13,0
49,14,15,1
50,15,16,1
51,16,17,1
52,17,17,0
53,18,18,0
54,19,20,1
55,20,20,0
56,21,22,1
57,22,23,1
58,23,23,0
59,24,24,0
60,25,26,1
61,26,27,1
62,27,27,0
63,28,28,0
64,29,29,0
65,30,30,0
66,31,31,0
67,32,32,0
68,33,33,0
69,34,34,0
70,35,35,0
