Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,70.51575547213649,47.92902502131854,376.84584402911497,-2.0709360879954284,1.16897318031553,-1.7809677366336873,1.280827975433155,0
1,-34,69.91312153347248,48.15025250329361,371.9557934908247,1.7596462345380812,-1.2755625051713069,2.0459622216355364,1.2844803396974411,0
2,-33,67.80289834456066,47.100227250983956,368.0155529923416,-0.7008331755393382,2.541771944182751,-0.41393026730950105,1.283893418565059,0
3,-32,66.33028268566774,46.580082630656555,363.7306502715006,1.8567935763975576,-1.1849536387996233,2.1549574199267263,1.2726324832657276,0
4,-31,64.40126015965888,45.73406736252561,359.5908041774507,-0.6070233828842084,2.6557468532236674,-0.3014516683307222,1.2652246122414104,0
5,-30,61.9182552889674,45.11564346333515,354.38200274703007,0.6962197338127222,-2.3279906670452513,1.0079445248564818,1.2590715357511373,0
6,-29,60.05984057916407,44.44657225363313,351.43930832998814,2.0053435260557997,-1.0308890555006658,2.3221880070818597,1.253951845768837,0
7,-28,58.55243898037457,44.02145207170664,348.7541210742086,0.800028728351461,-2.2184714113293174,1.1197783990194508,1.2510466561269071,0
8,-27,55.850268264790174,43.94952796607884,344.36128540210814,-1.6608744300593072,1.6027175375550495,-1.3389350005954168,1.248856897331006,0
9,-26,53.580681553911575,42.700496424320185,341.1425475837278,2.1568806362677444,-0.8435572841082577,2.488753073092788,1.2389238899698531,0
10,-25,51.814842512741365,42.77015169906558,339.2104137108023,2.202027534334659,-0.7890533146484263,2.54410216161376,1.2287216995157957,0
11,-24,48.84420126714732,41.50622749526401,335.7214958861415,2.230359984349419,-0.7349490588240521,2.599797066727347,1.2013592444169685,0
12,-23,46.70038555514064,41.82079914447368,333.935436619538,-0.23472207329689876,3.096677352652116,0.13954043676596134,1.1965338167320363,0
13,-22,44.527701000687735,41.843958086872235,331.1413545451894,2.3249557896075177,-0.6421134159160808,2.710668731548275,1.1850833848541393,0
14,-21,42.53348963236562,41.18046137805123,329.5648714342366,-1.38989028120784,1.9424859388950173,-1.0059661360725796,1.186872181659636,0
15,-20,39.67076339010108,41.05052117137295,326.96860091341597,-1.3696325203729884,1.9928196173159616,-0.9490172698345223,1.1501810762564304,0
16,-19,37.77613718693141,40.70329826471309,325.3434809505928,-2.567819703401965,0.7944497165403023,-2.150986971192501,1.1539635945854325,0
17,-18,35.8441621637951,41.101402094210364,324.0390715291171,-1.2727867448242363,2.0912337818044158,-0.8396180180448802,1.1376276000155405,0
18,-17,33.5007397814197,40.071114021882,322.6930220165403,1.2535142531782408,-1.6198844769604164,1.727977974152445,1.0963326058206926,0
19,-16,31.625350984802598,40.04796510489608,321.35932499852385,1.3001090326500886,-1.5685484270152636,1.7829620334888825,1.0879433259561022,0
20,-15,28.219451204653158,40.38316682322455,320.05484187162216,2.5757015627528683,-0.22715299493492982,3.0928579516054686,1.0536399379422967,0
21,-14,26.86506307368764,40.24467101757537,318.2649244099032,-1.1641103253399827,2.3240879166529056,-0.6191562633875113,1.0258422648424252,0
22,-13,25.20386832527744,39.31683136600188,317.24264499148234,0.10263139348569816,-2.663677727261434,0.690697849966624,0.9827298703139711,0
